id,category,citation,population,n,design,comparison,outcome_timing,main_result,confidence_for_ME539,main_limitation,url
1,direct-learning,"Bastani et al. 2025, PNAS",High-school mathematics,"about 1000",Preregistered cluster RCT,"Unrestricted GPT vs guarded hint tutor vs no AI","Assisted practice and later AI-free exam","Unrestricted GPT improved practice 48% but reduced later exam performance 17%; guarded tutor eliminated most harm",Moderate,"Secondary students; one school; four sessions",https://doi.org/10.1073/pnas.2422633122
2,direct-learning,"Bassner et al. 2026, Computers and Education: AI",Undergraduate CS1,275,Three-arm RCT,"Scaffolded Iris vs unrestricted ChatGPT vs no AI","Immediate independent knowledge and code comprehension","Both AI groups improved exercise scores but neither improved knowledge or comprehension",Moderate,"One 90-minute concurrency exercise",https://doi.org/10.1016/j.caeai.2025.100537
3,direct-learning,"Fan et al. 2025, British Journal of Educational Technology",University writing,117,RCT,"ChatGPT vs human expert vs analytics vs no support","Immediate product, knowledge, and transfer","ChatGPT improved essay most but not knowledge or transfer; less orientation and self-evaluation",Moderate,"Short ESL writing task; no delayed test",https://doi.org/10.1111/bjet.13544
4,direct-learning,"Munsell et al. 2026, Journal of Real Estate Practice and Education",Master's real-estate finance,"65 randomized; 58 quiz completers",Individual randomized experiment,"ChatGPT as primary resource with no class vs classroom instruction plus notes","Homework then later conceptual quiz","Similar homework; classroom condition scored .512 vs .405 on conceptual quiz, d=.57; confidence similar",Low,"Bundled substitution: AI effect cannot be separated from loss of classroom instruction",https://doi.org/10.1080/15214842.2026.2659409
5,direct-learning,"Kalam et al. 2025, Cureus",First-year medical students,33,RCT,"GPT-4 vs web vs institutional resources","Assisted quiz and one-week unaided repeated quiz","GPT and web improved assisted score; no significant retention difference",Low,"Very small, selective, underpowered, repeated quiz",https://doi.org/10.7759/cureus.85767
6,direct-learning,"Cicek et al. 2025, Postgraduate Medical Journal",First-year medical students,129,RCT,"Pregenerated ChatGPT vs expert feedback","Immediate and 10-day Key Feature tests","No overall difference; expert feedback better for complicated cases",Moderate,"One topic and institution; noninferiority not established",https://doi.org/10.1093/postmj/qgae170
7,direct-learning,"Gustafsson et al. 2026, JMIR Medical Education",Final-year medical students,41,Team-randomized pilot,"Unrestricted ChatGPT vs no AI during trauma simulations","Simulation performance and four-week retention","No accuracy, speed, or retention benefit; some complex cases slower",Low,"Only eight randomized teams",https://doi.org/10.2196/79134
8,direct-learning,"Barcaui 2025, Social Sciences and Humanities Open",Undergraduate business,120,RCT,"Unrestricted ChatGPT study vs conventional study","Surprise 45-day test; 85 completers","57.5% vs 68.5%, d about .68, favoring conventional study",Low,"29% attrition; weak fidelity monitoring; one author/course",https://doi.org/10.1016/j.ssaho.2025.102287
9,direct-learning,"Kestin et al. 2025, Scientific Reports",Harvard introductory physics,194,Randomized crossover,"Expert-built structured AI tutor vs active-learning class","Immediate unaided posttest","AI tutor about d=.63 higher, median 49 vs 60 minutes, higher engagement",Moderate,"Two lessons; no delay; extensive instructor/platform engineering",https://doi.org/10.1038/s41598-025-97652-6
10,direct-learning,"Lee et al. 2024, International Journal of Educational Technology in Higher Education",First-year university chemistry,61,RCT,"Attempt-first hint tutor vs ordinary ChatGPT","Posttest and week-15 delayed test","Guided group outperformed ordinary ChatGPT on chemistry posttest and delayed test",Moderate,"Small; no no-AI arm; several self-reports; part of a related three-paper research program",https://doi.org/10.1186/s41239-024-00447-4
11,direct-learning,"Li et al. 2025, InquiryGPT, Journal of Educational Computing Research",Engineering students,62,Randomized comparison,"Predict-observe-explain-evaluate GPT vs ordinary ChatGPT","Immediate and two-week delayed tests","Immediate scores 77.6 vs 69.6; delayed means 74.8 vs 68.2 but delayed inferential significance is uncertain",Low,"Small; paired work; no no-AI arm; internally inconsistent delayed statistics; related research program",https://doi.org/10.1177/07356331241289824
12,direct-learning,"Wu et al. 2025, Journal of Computer Assisted Learning",First-year engineering,61,Eight-week RCT,"Peer-assessment-cycle GPT vs ordinary ChatGPT","Posttest and self-report","Reported higher knowledge and self-reported HOTS in structured group",Low,"Conflicting F statistics and impossible residual df; no delayed transfer; related research program",https://doi.org/10.1111/jcal.13085
13,direct-learning,"Zheng, Shi, and Gao 2026, Computers and Education",College students across two domains,234,Two controlled studies,"Expert-plus-assistant agents vs one chatbot vs traditional collaboration","Immediate posttest and process measures","Multiagent condition higher on achievement, elaboration, and collaboration",Low,"No delayed independent test; collaborative rather than individual mastery",https://doi.org/10.1016/j.compedu.2025.105489
14,direct-learning,"Ates 2026, International Journal of Educational Technology in Higher Education",First-year science students,1176,Multisite cluster RCT,"Direct AI critique vs self-evaluation then AI vs hybrid self/peer/AI","Supervised delayed AI-free transfer","Reflective and hybrid sequences outperformed direct AI on transfer and uptake",Moderate,"Very recent; extra structure/time cannot be separated",https://doi.org/10.1186/s41239-026-00614-9
15,direct-learning,"Pardos and Bhandari 2024, PLOS ONE",Adult crowdworkers studying math,274,Randomized 3x4 experiment,"Screened ChatGPT hints vs human hints vs no hints","Immediate repeated skill test","Gains 17.0%, 11.6%, and 1.9%; GPT-human difference not significant",Low,"Crowdworkers; 30% attrition; brief; raw hints failed 32% of checks",https://doi.org/10.1371/journal.pone.0304013
